2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,847 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-04-12 14:52:15,847 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,847 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,847 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-12 14:52:15,847 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,847 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
